Time,Username,Symbol ID,Coordinates
11/18/23 20:51,Jasper,1,"(1158, 199)"
11/18/23 20:51,Jasper,2,"(429, 314)"
11/18/23 20:51,Jasper,3,"(119, 210)"
11/18/23 20:51,Jasper,4,"(500, 150)"
11/18/23 20:51,Jasper,5,"(1141, 407)"
11/18/23 20:51,Jasper,6,"(1145, 510)"
11/18/23 20:51,Jasper,7,"(571, 125)"
11/18/23 20:51,Jasper,8,"(640, 637)"
11/18/23 20:51,Jasper,9,"(125, 300)"
11/18/23 20:51,Jasper,10,"(250, 300)"
11/18/23 20:51,Jasper,11,"(375, 300)"
11/18/23 20:51,Jasper,12,"(231, 191)"
11/18/23 20:51,Jasper,13,"(170, 326)"
11/18/23 20:51,Jasper,14,"(181, 212)"
11/18/23 20:51,Jasper,15,"(584, 653)"
11/18/23 20:51,Jasper,16,"(1089, 190)"
11/18/23 20:51,Jasper,17,"(1124, 262)"
11/18/23 20:51,Jasper,18,"(351, 155)"
11/18/23 20:51,Jasper,19,"(183, 606)"
11/18/23 20:51,Jasper,20,"(312, 270)"
11/18/23 20:51,Jasper,21,"(532, 243)"
11/18/23 20:51,Jasper,22,"(472, 244)"
11/18/23 20:51,Jasper,23,"(896, 500)"
11/18/23 20:51,Jasper,24,"(412, 231)"
11/18/23 20:51,Jasper,25,"(125, 600)"
11/18/23 20:51,Jasper,26,"(834, 152)"
11/18/23 20:51,Jasper,27,"(297, 175)"
11/18/23 20:51,Jasper,28,"(601, 344)"
11/18/23 20:51,Jasper,29,"(539, 612)"
11/18/23 20:51,Jasper,30,"(918, 429)"
11/18/23 20:51,Jasper,31,"(856, 428)"
11/18/23 20:51,Jasper,32,"(508, 363)"
11/18/23 20:59,Alissa,1,"(1094, 226)"
11/18/23 20:59,Alissa,2,"(657, 395)"
11/18/23 20:59,Alissa,3,"(700, 80)"
11/18/23 20:59,Alissa,4,"(184, 247)"
11/18/23 20:59,Alissa,5,"(291, 129)"
11/18/23 20:59,Alissa,6,"(781, 95)"
11/18/23 20:59,Alissa,7,"(704, 715)"
11/18/23 20:59,Alissa,8,"(1134, 683)"
11/18/23 20:59,Alissa,9,"(588, 369)"
11/18/23 20:59,Alissa,10,"(1042, 195)"
11/18/23 20:59,Alissa,11,"(554, 424)"
11/18/23 20:59,Alissa,12,"(639, 471)"
11/18/23 20:59,Alissa,13,"(532, 330)"
11/18/23 20:59,Alissa,14,"(605, 422)"
11/18/23 20:59,Alissa,15,"(241, 723)"
11/18/23 20:59,Alissa,16,"(1063, 666)"
11/18/23 20:59,Alissa,17,"(1087, 706)"
11/18/23 20:59,Alissa,18,"(1126, 125)"
11/18/23 20:59,Alissa,19,"(1017, 625)"
11/18/23 20:59,Alissa,20,"(1080, 113)"
11/18/23 20:59,Alissa,21,"(174, 725)"
11/18/23 20:59,Alissa,22,"(1101, 587)"
11/18/23 20:59,Alissa,23,"(653, 741)"
11/18/23 20:59,Alissa,24,"(177, 131)"
11/18/23 20:59,Alissa,25,"(298, 729)"
11/18/23 20:59,Alissa,26,"(270, 215)"
11/18/23 20:59,Alissa,27,"(666, 684)"
11/18/23 20:59,Alissa,28,"(99, 723)"
11/18/23 20:59,Alissa,29,"(231, 136)"
11/18/23 20:59,Alissa,30,"(113, 119)"
11/18/23 20:59,Alissa,31,"(740, 732)"
11/18/23 20:59,Alissa,32,"(1147, 248)"
11/22/23 10:10,Jenny B,1,"(140, 763)"
11/22/23 10:10,Jenny B,2,"(250, 150)"
11/22/23 10:10,Jenny B,3,"(354, 772)"
11/22/23 10:10,Jenny B,4,"(830, 799)"
11/22/23 10:10,Jenny B,5,"(107, 92)"
11/22/23 10:10,Jenny B,6,"(199, 52)"
11/22/23 10:10,Jenny B,7,"(407, 758)"
11/22/23 10:10,Jenny B,8,"(1000, 150)"
11/22/23 10:10,Jenny B,9,"(189, 757)"
11/22/23 10:10,Jenny B,10,"(169, 76)"
11/22/23 10:10,Jenny B,11,"(264, 54)"
11/22/23 10:10,Jenny B,12,"(296, 47)"
11/22/23 10:10,Jenny B,13,"(352, 19)"
11/22/23 10:10,Jenny B,14,"(428, 35)"
11/22/23 10:10,Jenny B,15,"(1087, 141)"
11/22/23 10:10,Jenny B,16,"(905, 767)"
11/22/23 10:10,Jenny B,17,"(961, 145)"
11/22/23 10:10,Jenny B,18,"(192, 128)"
11/22/23 10:10,Jenny B,19,"(279, 764)"
11/22/23 10:10,Jenny B,20,"(676, 358)"
11/22/23 10:10,Jenny B,21,"(621, 358)"
11/22/23 10:10,Jenny B,22,"(820, 784)"
11/22/23 10:10,Jenny B,23,"(935, 776)"
11/22/23 10:10,Jenny B,24,"(384, 94)"
11/22/23 10:10,Jenny B,25,"(198, 763)"
11/22/23 10:10,Jenny B,26,"(797, 749)"
11/22/23 10:10,Jenny B,27,"(293, 94)"
11/22/23 10:10,Jenny B,28,"(552, 363)"
11/22/23 10:10,Jenny B,29,"(1047, 154)"
11/22/23 10:10,Jenny B,30,"(306, 132)"
11/22/23 10:10,Jenny B,31,"(870, 765)"
11/22/23 10:10,Jenny B,32,"(422, 752)"
11/26/23 11:41,Asa,1,"(125, 150)"
11/26/23 11:41,Asa,2,"(589, 299)"
11/26/23 11:41,Asa,3,"(550, 139)"
11/26/23 11:41,Asa,4,"(893, 519)"
11/26/23 11:41,Asa,5,"(390, 746)"
11/26/23 11:41,Asa,6,"(661, 109)"
11/26/23 11:41,Asa,7,"(1050, 185)"
11/26/23 11:41,Asa,8,"(169, 722)"
11/26/23 11:41,Asa,9,"(476, 389)"
11/26/23 11:41,Asa,10,"(223, 243)"
11/26/23 11:41,Asa,11,"(501, 285)"
11/26/23 11:41,Asa,12,"(298, 504)"
11/26/23 11:41,Asa,13,"(565, 428)"
11/26/23 11:41,Asa,14,"(464, 597)"
11/26/23 11:41,Asa,15,"(726, 419)"
11/26/23 11:41,Asa,16,"(323, 281)"
11/26/23 11:41,Asa,17,"(1053, 460)"
11/26/23 11:41,Asa,18,"(162, 348)"
11/26/23 11:41,Asa,19,"(978, 551)"
11/26/23 11:41,Asa,20,"(262, 122)"
11/26/23 11:41,Asa,21,"(636, 404)"
11/26/23 11:41,Asa,22,"(102, 319)"
11/26/23 11:41,Asa,23,"(1093, 304)"
11/26/23 11:41,Asa,24,"(827, 616)"
11/26/23 11:41,Asa,25,"(125, 600)"
11/26/23 11:41,Asa,26,"(250, 600)"
11/26/23 11:41,Asa,27,"(375, 600)"
11/26/23 11:41,Asa,28,"(534, 691)"
11/26/23 11:41,Asa,29,"(285, 704)"
11/26/23 11:41,Asa,30,"(687, 553)"
11/26/23 11:41,Asa,31,"(1011, 306)"
11/26/23 11:41,Asa,32,"(708, 326)"
2023-11-30 14:35:02,shawshank,1,"(124, 433)"
2023-11-30 14:35:02,shawshank,2,"(181, 173)"
2023-11-30 14:35:02,shawshank,3,"(400, 401)"
2023-11-30 14:35:02,shawshank,4,"(555, 163)"
2023-11-30 14:35:02,shawshank,5,"(547, 372)"
2023-11-30 14:35:02,shawshank,6,"(615, 397)"
2023-11-30 14:35:02,shawshank,7,"(880, 112)"
2023-11-30 14:35:02,shawshank,8,"(966, 624)"
2023-11-30 14:35:02,shawshank,9,"(132, 185)"
2023-11-30 14:35:02,shawshank,10,"(175, 544)"
2023-11-30 14:35:02,shawshank,11,"(247, 223)"
2023-11-30 14:35:02,shawshank,12,"(1072, 368)"
2023-11-30 14:35:02,shawshank,13,"(286, 118)"
2023-11-30 14:35:02,shawshank,14,"(456, 681)"
2023-11-30 14:35:02,shawshank,15,"(341, 104)"
2023-11-30 14:35:02,shawshank,16,"(1093, 625)"
2023-11-30 14:35:02,shawshank,17,"(908, 617)"
2023-11-30 14:35:02,shawshank,18,"(178, 435)"
2023-11-30 14:35:02,shawshank,19,"(1133, 636)"
2023-11-30 14:35:02,shawshank,20,"(136, 506)"
2023-11-30 14:35:02,shawshank,21,"(400, 674)"
2023-11-30 14:35:02,shawshank,22,"(1013, 633)"
2023-11-30 14:35:02,shawshank,23,"(808, 354)"
2023-11-30 14:35:02,shawshank,24,"(1029, 404)"
2023-11-30 14:35:02,shawshank,25,"(209, 103)"
2023-11-30 14:35:02,shawshank,26,"(138, 104)"
2023-11-30 14:35:02,shawshank,27,"(952, 130)"
2023-11-30 14:35:02,shawshank,28,"(486, 401)"
2023-11-30 14:35:02,shawshank,29,"(1115, 406)"
2023-11-30 14:35:02,shawshank,30,"(568, 413)"
2023-11-30 14:35:02,shawshank,31,"(843, 327)"
2023-11-30 14:35:02,shawshank,32,"(339, 665)"
2023-11-30 15:00:25,jasmine,1,"(198, 666)"
2023-11-30 15:00:25,jasmine,2,"(505, 309)"
2023-11-30 15:00:25,jasmine,3,"(779, 330)"
2023-11-30 15:00:25,jasmine,4,"(782, 384)"
2023-11-30 15:00:25,jasmine,5,"(281, 176)"
